4087543	por	Eu passei a maior parte da minha vida aqui em Boston.
7556591	por	Você gostaria de tentar algo diferente?
7331488	por	Você teve alguma sorte?
2039799	por	Você deve me contar.
3416494	por	Não há nada a ser dito.
7880625	por	Então o faraó acordou e viu que tinha sido um sonho.
1050618	por	Parecia meio nervoso ontem.
889288	por	Ela o acordou.
6917272	por	O que aquelas crianças estão fazendo?
2453895	por	Me dá um martelo.
8083131	por	É melhor você vir mais tarde.
2483492	por	Poderia ser armadilha.
3244160	por	Peça desculpas ao Tom.
4378579	por	Sou um detetive.
4861219	por	Não me diga o que devo fazer.
6936605	por	Acho que você está pronta.
8058999	por	Preciso ver tudo.
6378274	por	O senhor sabe como se faz isso?
8232898	por	Você nunca me disse o nome da sua namorada.
5935129	por	Acima de minha cabeça, o céu azul; sob meus pés, a grama verde.
429627	por	Intuitivamente, ele sabia que ela estava a mentir.
2453639	por	Finalmente tenho tempo para responder às correspondências que eu recebi durante estas três semanas.
8093917	por	O que bebes?
3009284	por	Toda Dalecarlia, na Suécia, está repleta de atrações.
4538169	por	As borboletas vivem por quanto tempo?
3260864	por	Com paciência conquista-se a ciência.
8332246	por	Eu não disse que você estava mentindo.
8645489	por	Nós não comemos carne de porco.
3999403	por	Ela quer um chapéu novo.
6462650	por	O cocuruto é a parte mais alta da cabeça.
970293	por	Tenho certeza de que a vi há dois anos.
7308994	por	A culpa é deles.
4368250	por	Nós falamos sobre isto antes.
1822559	por	O relógio é à prova d'água; não enguiça, pois.
6370339	por	Eu gostei bastante do livro. Contém muitos pontos de contato com minha própria vida.
931881	por	Quem é o homem tocando violino?
879773	por	Fiquei surpreso ao ouvir que as pessoas realmente não comem verduras.
4455936	por	Eu deveria deixá-los ir?
4825192	por	Fiz brownies.
7029992	por	A Língua Portuguesa é, neste momento, utilizada por 261 milhões de pessoas, sendo a quarta língua mais falada no mundo.
5205445	por	Vocês me chamaram?
6026735	por	Tom deixou Maria dirigir.
4357256	por	Tu és alemão, não és?
2698030	por	Ela me telefonou muito tarde ontem à noite.
4816854	por	Eu quero ouvir o resto da estória.
2440274	por	Vocês estão progredindo.
5471460	por	Vencemos três equipes.
2804270	por	Como saímos desta situação?
870715	por	Ela tem orgulho da filha.
2817427	por	Como estou doente, não irei com você.
4982805	por	Em quanto tempo a Terra dá uma volta em torno dela mesma?
5063479	por	Eu apaguei a vela.
1658787	por	Hokkaido está situada ao norte de Honshu.
7330402	por	O Tom sabe que a Mary fez isso?
7051188	por	Quantos passarinhos há no ninho?
1882791	por	Ele aparece na TV com frequência.
1558982	por	Os sapatos de Maria estão sujos.
3847411	por	Acabei de ler o livro há pouco.
3972176	por	Chegou o empregado que você contratou ontem.
3453950	por	Tom não sabia onde estava seu guarda-chuva.
6049863	por	Perdoe o atraso! Dormi demais.
1248886	por	Ela está escrevendo um livro agora.
8246936	por	É essencial colocar essas pessoas de lado.
2155420	por	Lavam as mãos.
3490343	por	Estou tendo uma ideia.
4793178	por	Você leu o novo livro de Tom Jackson?
2500583	por	O diabo é um esquilo.
4746913	por	Tom quebrou algo novamente.
1305883	por	Eu tenho um amigo cujo pai é um famoso pianista.
3191497	por	Posso participar?
6129476	por	A crença predominante desde a dissolução da União Soviética é que outro mundo não é possível.
8062315	por	Quando o Tom poderá fazer isso?
5995387	por	Tô aqui toda noite.
5610124	por	Nós deveríamos tentar novamente?
6554482	por	Sabes como isso aconteceu?
8086071	por	Farás todo o teu trabalho durante seis dias da semana; mas o sétimo dia da semana é o dia de descanso, dedicado ao Senhor teu Deus. Não farás nenhum trabalho nesse dia, nem tu, nem teus filhos, nem tuas filhas, nem teus escravos, nem tuas escravas, nem teus animais, nem os estrangeiros que morarem em tuas cidades.
3152107	por	A navegação foi temporariamente interrompida.
1161364	por	Quem são os que vão ser enviados?
3087002	por	Os planadores, aeroplanos sem motor, são maravilhosas máquinas voadoras. É o mais perto que se pode chegar de ser um pássaro.
6970833	por	Eu vou explicar isso depois.
1234924	por	Vou ficar aqui até depois de amanhã.
4599449	por	Fiquei profundamente comovido com o discurso dele.
4353275	por	Quase todos eram pobres, e apenas uma centena pagou o preço da assinatura.
8904126	por	Quantos você disse que estavam lá?
4512269	por	Ele a desvirginou quando ela acabava de fazer dezenove anos.
8169405	por	Não arranca folhas do caderno!
2812018	por	Quero mesmo saber.
1926616	por	Eu e o Tom somos bons amigos.
3191065	por	Esta cama é muito curta para mim.
4878325	por	Tom sabe consertar qualquer coisa.
8195457	por	Isto é pura bobagem.
7124322	por	Jura?
3341577	por	Temos muitas coisas em comum e confesso que isso me assusta.
6369067	por	Qual é o seu salário?
981545	por	A tarefa é para daqui a duas semanas.
