6201292	ita	Trascino.
3339524	ita	Lui si è arrabbiato con suo fratello.
7655038	ita	Non vai a costruire birrerie in Argentina.
7370249	ita	Non penso che Tom sia ambidestro.
8733925	ita	Non è probabile che lo faccia, vero?
6687161	ita	Non lasciarlo entrare in questa stanza.
3864207	ita	Tornerei all'osteria solo per quel tortino.
3417801	ita	Tom è quasi alto come lei.
5634631	ita	Lui vive in due case.
5198729	ita	Mi dispiace, devo andare.
5330201	ita	Ero tentato di andare a casa presto.
7609503	ita	Vanno a fare affari in Russia?
8629629	ita	È un bravo cantante, vero?
4086091	ita	Lui ti sta per cavare gli occhi!
5338347	ita	Stanotte potrebbe essere la notte.
6015591	ita	Questa è una mia foto.
1669719	ita	John ha due anni in meno di me.
7649801	ita	Non va a costruire moschee in Giappone.
3514119	ita	Semplicemente non succederà mai.
3173963	ita	Il problema è il corso.
6762516	ita	"Dove andrete per lavoro?" "In Slovenia."
7617372	ita	Non vanno a costruire scuole in Bulgaria?
7601426	ita	Non vado a cercare qualcosa in Austria?
4654605	ita	Perché Tom non è a scuola?
2970942	ita	Tom deve arrivare oggi.
7642972	ita	Vado a costruire allevamenti in Belgio?
8857540	ita	Non può continuare.
6569563	ita	Quanti regali di Natale ha dato quest'anno?
2773229	ita	Vorreste un altro biscotto?
5609032	ita	Metto le scarpe.
2682910	ita	Mia figlia diventerà maggiorenne quest'anno.
2564967	ita	Io sono diverso ora.
7606763	ita	Non vado a fare amicizie in Albania.
3570591	ita	Ma avete davvero un bel modo di ragionare!
3502776	ita	Lo sanno anche i bambini che non si divideranno.
7598981	ita	Va a insegnare qualcosa in Inghilterra.
2556151	ita	Io ero a piedi nudi.
4158403	ita	Sappiamo poco sulla sua vita personale.
4172999	ita	Loro la stanno aspettando.
7621529	ita	Non va a costruire fabbriche in Bulgaria?
6720689	ita	Abbiamo il passaporto messicano?
7571343	ita	Penso che non andranno in vacanza in Italia.
5088340	ita	Non capisci cosa intendevo dire.
2084420	ita	Io pensavo che Tom fosse nei guai.
6557009	ita	Le perdite erano inevitabili.
5611833	ita	Non facciamo molta pratica.
7608757	ita	Andate a fare affari in Sudafrica.
3499670	ita	Non te lo posso dire.
5443051	ita	Se vuoi, parliamo dopo le sei di sera.
5247977	ita	Stai ancora lavorando con loro?
5492645	ita	Dov'è mio fratello?
6067671	ita	Garantirò per voi.
5678857	ita	C'è sempre un'interfaccia online.
6103452	ita	Mi entrò del sapone negli occhi.
4414101	ita	Quelli non sono i tuoi genitori?
8501175	ita	Non era sicuro.
7049558	ita	Tom è molto assonnato, vero?
7642589	ita	Non vado a costruire allevamenti in Egitto.
7651493	ita	Vado a costruire sinagoghe in Svezia?
5997187	ita	Stavamo parlando di voi.
7205464	ita	Sami aveva due lezioni venerdì.
5447622	ita	È perfino inutile provarci.
7004818	ita	Incredibile, ma lei ce l'ha fatta!
5204267	ita	Tom non dovrà lavorare qui.
8649110	ita	Molta gente partecipò al funerale di Tom.
3899148	ita	Tom disse che non voleva perdere tempo a litigare.
4796046	ita	Vi sto parlando da amico.
7614569	ita	Vado a costruire ospedali in India.
1301413	ita	Noi contiamo di invitare sia Tom che Mary.
421384	ita	Possiamo registrare il passato e il presente.
5640086	ita	La moglie di mio padre è mia madre e la nonna dei miei figli.
5774261	ita	Io penso di essermi persa.
7652177	ita	Non vanno a costruire sinagoghe in Bangladesh?
1949128	ita	Tutti sanno che lei è ricca.
3551694	ita	Allora hai copiato senza capire!
4395271	ita	Siamo state derubate.
3528148	ita	Di' a Tom che devo lavorare fino a tardi stasera.
7657235	ita	Non va a costruire banche in Bielorussia?
6923239	ita	Tom è difficile da sorprendere.
2688359	ita	Collezioni ancora dei francobolli?
3862545	ita	Lui l'ha spiegata.
1184972	ita	Ho una bicicletta.
3672793	ita	Andiamo poco lontano?
1508050	ita	La sua auto nuova è fantastica.
5411999	ita	Qui in estate c'è molto umido.
3101826	ita	Lui non aveva abbastanza soldi per andare a casa in treno.
5357028	ita	Noi abbiamo ordinato una pizza.
7629787	ita	Non vai a costruire cimiteri in Cile.
2555656	ita	Io sono vivace.
763698	ita	L'eccesso di offerta porta a un calo dei prezzi.
6163732	ita	Lui non è sulle liste.
4617645	ita	Come posso aiutare Tom?
7097048	ita	Gli agnelli sono molto carini.
1964047	ita	Che tipo di nave è quella?
6735758	ita	Non vanno in vacanza in Svizzera?
7601353	ita	Vanno a cercare qualcosa in Danimarca?
2168344	ita	Loro non hanno specificato l'anno.
6612038	ita	Tom e Mary dissero che a loro stava piacendo la festa.
1538324	ita	Io non ero nemmeno nata.
6200932	ita	Portiamoli a letto.
4462285	ita	Io penso che farò colazione.
3406493	ita	Non voglio avere nulla a che fare con te.
3840947	ita	Nemmeno i miei amici conoscono il mio vero nome.
7652521	ita	Vanno a costruire templi negli Stati Uniti.
4589674	ita	Loro insegnano.
1155648	ita	Tom e Mary si sono sposati in una chiesa non troppo lontano da qui.
5544395	ita	Nessuno vi riconoscerà.
3845259	ita	Purtroppo è quasi fondamentale specificarlo.
3133501	ita	Lei avrebbe voluto una vita più rilassante, ma era impossibile, date le circostanze.
2966169	ita	Acchiappi Tom.
7640499	ita	Non vai a costruire ristoranti in Lituania?
3559263	ita	Io promisi a Tom che non lo avremmo fatto.
6609696	ita	A me piace dipingere.
5525132	ita	Non l'ho sentita entrare.
6988234	ita	Non vogliono andare in Inghilterra?
7423598	ita	Per lavoro vado in Australia.
4206162	ita	Il maiale in alcune culture è un animale sacro.
8859492	ita	Non ero sarcastica.
4557220	ita	Iniziate.
4727353	ita	È da sentire assolutamente!
6747631	ita	"Di che nazionalità sono le nostre madri?" "Irlandese."
7659422	ita	Vai a costruire arene in Danimarca.
6201935	ita	Tom puzzerà.
6866689	ita	Pensa che Tom sia affidabile?
5764287	ita	Tom venne a Boston per affari.
5376813	ita	Eravamo molto occupate.
2068202	ita	Noi dobbiamo fermare questo pericoloso contagio.
5015969	ita	Tom si svegliò all'alba.
6821393	ita	Non ho detto a Tom che Mary era qui.
3338177	ita	Mi dispiace, hai preso un brutto voto.
4847544	ita	Mara è una mia vecchia amica: mi ha telefonato domenica.
3144692	ita	Questo è quello che avrei detto.
7572726	ita	Penso che andrete per svago in Italia.
3558130	ita	Magari sarà solo intenzionato a fare una donazione.
7693646	ita	Lei è così stupido a volte.
2364565	ita	La fabbrica produceva dieci articoli finiti all'ora.
3020500	ita	Con la ricerca dell'anonimato si ha una perdita dell'io.
3244579	ita	Ha stimolato la mia fantasia.
7027461	ita	Tom era malato ieri.
7565772	ita	Lunedì facciamo inglese?
3657120	ita	Il processo è solo l'inizio.
7265440	ita	Lei pensa che Tom sia davvero dispiaciuto?
4366063	ita	Siamo egoisti.
7605363	ita	Non vai a fare carriera in Francia.
3282274	ita	Ero sufficientemente stupida per credere a Tom.
6723553	ita	Non hai mai visitato il Giappone?
5040998	ita	Perché utilizza Tatoeba?
3922104	ita	Ha esalato il suo ultimo respiro.
4845152	ita	Ken è uno studente avido.
4558348	ita	Voi pensate che Tom verrà licenziato?
2894282	ita	Io sto provando a consolarla.
